2021-06-07 12:53:06.657  INFO 13696 --- [main] c.e.c.CointickerApplicationTests         : Starting CointickerApplicationTests using Java 15.0.2 on PC-202103011354 with PID 13696 (started by Administrator in H:\javaProjectNumTime\cointicker)
2021-06-07 12:53:06.669 DEBUG 13696 --- [main] c.e.c.CointickerApplicationTests         : Running with Spring Boot v2.4.5, Spring v5.3.6
2021-06-07 12:53:06.670  INFO 13696 --- [main] c.e.c.CointickerApplicationTests         : No active profile set, falling back to default profiles: default
2021-06-07 12:53:08.028  INFO 13696 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2021-06-07 12:53:08.426  INFO 13696 --- [main] c.e.c.CointickerApplicationTests         : Started CointickerApplicationTests in 2.207 seconds (JVM running for 3.72)
2021-06-07 12:53:09.181 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=1&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:09.193 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:12.001 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:12.003 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:12.058 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=2&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:12.059 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:12.575 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:12.576 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:13.237 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=3&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:13.237 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:14.219 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
2021-06-07 12:53:14.220 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Reading to [java.util.HashMap<?, ?>]
2021-06-07 12:53:14.244 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : HTTP GET https://www.binance.com/bapi/earn/v1/public/indicator/abnormal-trading-notice/pageList?pageIndex=4&pageSize=100&startTime=1622868788890&endTime=1623041588890
2021-06-07 12:53:14.244 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Accept=[application/json, application/*+json]
2021-06-07 12:53:15.169 DEBUG 13696 --- [main] c.e.cointicker.usdtcoin.MyRestTemplate   : Response 200 OK
